Industry Clean,Mapped,count,Industry Ref
Federal Consulting,,3,Federal Consulting
Motion Pictures and Film,true,3,Film & Television
Motion Pictures and Film,true,3,Film Production
Computer Software,true,3,Financial Software
Financial Services,true,3,Financial Tech
Fine Art,true,3,Fine Art
Food & Beverages,true,3,Food industry
Food Production,true,3,Food production
Franchising,,3,Franchising
Package/Freight Delivery,true,3,Freight
Furniture,true,3,Furniture manufacturing
Gas Utility,,3,Gas Utility
Hospital & Health Care,true,3,Global Health
Gov't consulting,,3,Gov't consulting
Government Administration,true,3,Government - public service
Accounting,true,3,Government Accounting
Government Administration,true,3,Government Administration
Government Administration,true,3,Government research
Government Administration,true,3,Government-Museum
Government Administration,true,3,Government/Civil Service
Healtcare,,3,Healtcare
Hospital & Health Care,true,3,Health and benefits
"Health, Wellness and Fitness",true,3,Health and fitness
Hospital & Health Care,true,3,Health Care Administration
Hospital & Health Care,true,3,Health services
Hospital & Health Care,true,3,Health technology
Hospital & Health Care,true,3,Healthcare Management
Hospital & Health Care,true,3,Healthcare Marketing
Hospital & Health Care,true,3,Healthcare revenue cycle
Hospital & Health Care,true,3,Healthcare Revenue cycle management
Hospital & Health Care,true,3,Healthcare Sales
Construction,true,3,Heavy Construction
Technology,,3,Hi tech
Higher Education,true,3,Higher education (admin)
Higher Education,true,3,Higher Education (Library)
Higher Education,true,3,Higher Education Human Resources
Higher Education,true,3,Higher Education/ Nonprofit
Higher Education,true,3,Higher education/Libraries
Furniture,true,3,Home furnishings
Hospital & Health Care,true,3,Home Health Care
HR / Tech,,3,HR / Tech
Law Practice,true,3,Immigration Law
Industrial Automation,true,3,Industrial Supplies
Information Management,,3,Information Management
Information Technology and Services,true,3,Information Technology (federal)
Insurance,true,3,Insurance brokerage
Public Relations and Communications,true,3,Internal Communications
Non-Profit Organization Management,true,3,International Non-Profit
Internet Marketing,,3,Internet Marketing
Computer Software,true,3,IT / Software
Information Technology and Services,true,3,IT Insurance
Information Technology and Services,true,3,IT Sales
Kar wash,,3,Kar wash
Law Practice,true,3,Law - Public Interest
Law Practice,true,3,Lawn Care
Legal Services,true,3,Legal aid
Legal Services,true,3,Legal Industry
Library and Archives,,3,Library and Archives
Lighting,,3,Lighting
Government Administration,true,3,Local Government Administration
Translation and Localization,true,3,Localization
Publishing,true,3,Magazine publishing
Industrial Automation,true,3,Manufacturing/Industrial
Marketing Agency,,3,Marketing Agency
Marketing Research,,3,Marketing Research
Marketing sales,,3,Marketing sales
Public Relations and Communications,true,3,Marketing/Communications
Med Device,,3,Med Device
Medical Practice,true,3,Medical field
Medical Practice,true,3,Medical Sales
Mining & Metals,true,3,Metals
"Mortgage, technology",,3,"Mortgage, technology"
Non-Profit Organization Management,true,3,Museum/Non-profit
Music,true,3,Music Industry
Natural Resources,,3,Natural Resource Management
Natural Resources,,3,Natural Resources
Mental Health Care,true,3,Non Profit - Mental Health
Fund-Raising,true,3,Non Profit (Fundraising)
Non-Profit Organization Management,true,3,Non-Profit Art Museum
Non-Profit Organization Management,true,3,Non-profit environmental conservation
Non-Profit Organization Management,true,3,Non-profit housing
Non-Profit Organization Management,true,3,Non-profit Marketing
Non-Profit Organization Management,true,3,Non-Profit Sector
Non-Profit Organization Management,true,3,Non-Profit Technology
Non-Profit Organization Management,true,3,Non-profit/legal
Non-Profit Organization Management,true,3,non-profit/religious
Non-Profit Organization Management,true,3,Non-proft
None,,3,None
Oil & Energy,true,3,oil and gas refining
Oil & Energy,true,3,Oil/Gas
Optometry,,3,Optometry
Outdoor,,3,Outdoor
Research,true,3,Packaging Research and Online Education
Paper & Forest Products,true,3,Paper Manufacturing
Law Practice,true,3,Patent Law
Payments,,3,Payments
Chemicals,true,3,Petro-chemical
Chemicals,true,3,Petrochemicals
Petroleum,,3,Petroleum
Pharmaceutical R&D,,3,Pharmaceutical R&D
Pharmaceutical Research,,3,Pharmaceutical Research
Political Organization,true,3,Political campaigns
Power Utility,,3,Power Utility
Private,,3,Private
Private school,,3,Private school
Professional Association,,3,Professional Association
Property,,3,Property
Libraries,,3,Public Librarianship
Media,true,3,Public Media
Public Transit,,3,Public Transit
Public Utility,,3,Public Utility
Publishing,true,3,Publishing/Media
Insurance,true,3,Reinsurance
Religious Institutions,true,3,Religious
Non-Profit Organization Management,true,3,Religious/non-profit
Research Administration (University),,3,Research Administration (University)
Research and Development,,3,Research and Development
Resorts,,3,Resorts
Retail,true,3,Retail Management
Retail,true,3,Retail Service
Retail,true,3,Retail tech
Construction,true,3,ROAD Construction
Scientific,,3,Scientific
Semiconductors,,3,Semiconductor equipment
Semiconduyor,,3,Semiconduyor
Senior Housing,,3,Senior Housing
Non-Profit Organization Management,true,3,Social Work/NonProfit
Computer Software,true,3,Software/Internet
Solid Waste,,3,Solid Waste
Defense & Space,true,3,Space
State University,,3,State University
Survey research,,3,Survey research
Tech/Marketing,,3,Tech/Marketing
Technical services,,3,Technical services
Technology Sales,,3,Technology Sales
Computer Software,true,3,Technology/software
Telco,,3,Telco
Television Production,,3,Television Production
Think tanks,,3,Think tanks
Insurance,true,3,Title Insurance
Transportation/Trucking/Railroad,true,3,Transportation Planning
